ROWNUM;FullName;ShortName;LegalAddress;ExamDate;SubjectName;PassedQuantity;AVGScore;global_id;
5686;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 856»";"ГБОУ школа № 856";"117208, г. Москва, Сумской пр., д.12, корп.6";"18.06.2015";"Иностранный язык (английский язык)";"1";"4";"64167330";
5687;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2097»";"ГБОУ школа № 2097";"125363, г. Москва, ул. Аэродромная, д. 9";"05.06.2015";"География";"4";"3.75";"64167331";
5688;"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Западный комплекс непрерывного образования»";"ГБПОУ ЗКНО";"121471, г. Москва, ул.Гвардейская, д.15, корпус 2";"05.06.2015";"Биология";"5";"3.4";"64167332";
5689;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 508»";"ГБОУ школа № 508";"115404, г. Москва, ул. Элеваторная, д. 4, корп. 2";"29.05.2015";"Химия";"1";"3";"64167333";
5690;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1253 с углубленным изучением иностранного языка»";"ГБОУ школа № 1253";"119021, г. Москва, Зубовский б-р, д.5, стр.1";"03.06.2015";"Русский язык";"160";"4.36";"64167334";
5691;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 438»";"ГБОУ школа № 438";"115563, г. Москва, Борисовский пр., д.40, корп.3";"14.09.2015";"Русский язык";"2";"3";"64167335";
5692;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2009»";"ГБОУ школа № 2009";"117041, г. Москва, улица Адмирала Руднева, дом 16, корпус 1";"29.05.2015";"Обществознание";"20";"4";"64167336";
5693;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 166»";"ГБОУ школа № 166";"127572, г. Москва, Алтуфьевское ш., д.97, корп.3";"17.06.2015";"История";"1";"3";"64167337";
5694;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1329»";"ГБОУ школа № 1329";"119602, г. Москва, ул.Никулинская, д.10";"10.06.2015";"Обществознание";"2";"4.5";"64167338";
5695;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2009»";"ГБОУ школа № 2009";"117041, г. Москва, улица Адмирала Руднева, дом 16, корпус 1";"03.06.2015";"Русский язык";"59";"4.07";"64167339";
5696;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1298»";"ГБОУ школа № 1298";"125466, г. Москва, ул. Юровская, д. 97";"17.06.2015";"Биология";"1";"4";"64167340";
5697;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1363»";"ГБОУ школа № 1363";"109542, г. Москва, Рязанский проспект, д. 82, корп. 4";"05.06.2015";"Физика";"6";"3.5";"64167341";
5698;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 315»";"ГБОУ школа № 315";"107140, г. Москва, Русаковская ул., д.10, стр.1";"03.06.2015";"Русский язык";"53";"4.51";"64167342";
5699;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением французского языка № 1251 имени генерала Шарля де Голля»";"ГБОУ школа № 1251 имени генерала Шарля де Голля";"125252, г. Москва, ул. Сальвадора Альенде, д. 9";"07.08.2015";"Математика";"1";"3";"64167343";
5700;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2127»";"ГБОУ школа № 2127";"111672, г. Москва, ул. Салтыковская, д.13Б";"05.06.2015";"География";"1";"5";"64167344";
5701;"Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 1 «Первый Московский кадетский корпус»";"ГКОУ КШИ № 1";"127206, г. Москва, улица Вучетича, дом 30, строение 1";"05.06.2015";"Иностранный язык (английский язык)";"1";"3";"64167345";
5702;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением французского языка № 1095»";"ГБОУ школа № 1095";"129281, г. Москва, ул. Енисейская, д. 32, корпус 3";"05.06.2015";"География";"3";"4";"64167346";
5703;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 744 имени Петра Николаевича Еремеева»";"ГБОУ школа № 744 имени Петра Николаевича Еремеева";"125212, г. Москва, Ленинградское шоссе, д. 30";"03.06.2015";"Русский язык";"29";"3.97";"64167347";
5704;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением французского языка № 1251 имени генерала Шарля де Голля»";"ГБОУ школа № 1251 имени генерала Шарля де Голля";"125252, г. Москва, ул. Сальвадора Альенде, д. 9";"29.05.2015";"Химия";"3";"5";"64167348";
5705;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1540»";"ГБОУ гимназия № 1540";"103055, г. Москва, Новослободская ул., д.57, стр.1";"18.06.2015";"Математика";"2";"3";"64167349";
5706;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного (английского) языка № 1245»";"ГБОУ школа № 1245";"117534, г. Москва, Кировоградская ул., д.42, корп.2";"29.05.2015";"Обществознание";"17";"4.12";"64167350";
5707;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 518»";"ГБОУ школа № 518";"115035, г. Москва, Садовническая наб., д.37";"10.06.2015";"Информатика";"2";"4";"64167351";
